,Price,Km,Power,Year,Gas,Transmission,URL
44,21900,180000,136,2016,Diesel,Manual,https://www.standvirtual.com/anuncio/mercedes-benz-c-200-d-amg-line-ID8Ps3o8.html
45,59990,9782,265,2022,Diesel,Automática,https://www.standvirtual.com/anuncio/mercedes-benz-c-300-d-amg-line-ID8PsbJB.html
46,37900,135400,231,2018,Híbrido(Diesel),Automática,https://www.standvirtual.com/anuncio/mercedes-benz-c-300-h-amg-line-ID8Pm3VA.html
47,28750,129500,136,2018,Diesel,Manual,https://www.standvirtual.com/anuncio/mercedes-benz-c-200-ID8Pgtv0.html
48,42990,52947,160,2020,Diesel,Automática,https://www.standvirtual.com/anuncio/mercedes-benz-c-200-d-avantgarde-aut-ID8PngDg.html
49,51900,16100,163,2021,Diesel,Automática,https://www.standvirtual.com/anuncio/mercedes-benz-c-200-d-avantgarde-ID8PmicZ.html
50,33500,95107,160,2019,Diesel,Manual,https://www.standvirtual.com/anuncio/mercedes-benz-c-200-d-avantgarde-ID8Pq91K.html
51,34500,75593,122,2019,Diesel,Manual,https://www.standvirtual.com/anuncio/mercedes-benz-c-180-d-avantgarde-ID8Pq90J.html
52,34990,190000,170,2017,Diesel,Manual,https://www.standvirtual.com/anuncio/mercedes-benz-c-220-d-coupe-amg-line-ID8Pt44X.html
53,40990,101977,170,2019,Diesel,Automática,https://www.standvirtual.com/anuncio/mercedes-benz-c-220-d-amg-line-aut-ID8PleAr.html
54,31500,129000,170,2017,Diesel,Automática,https://www.standvirtual.com/anuncio/mercedes-benz-c-220-d-amg-line-aut-ID8PpWxR.html
55,52500,23000,156,2020,Gasolina,Automática,https://www.standvirtual.com/anuncio/mercedes-benz-c-180-amg-line-aut-ID8PpyPT.html
56,55000,50118,194,2019,Diesel,Automática,https://www.standvirtual.com/anuncio/mercedes-benz-c-220-ID8PfTDx.html
57,29900,125000,231,2017,Híbrido(Diesel),Automática,https://www.standvirtual.com/anuncio/mercedes-benz-c-300-h-avantgarde-ID8PmDz3.html
58,27850,230000,204,2017,Diesel,Automática,https://www.standvirtual.com/anuncio/mercedes-benz-c-250-d-exclusive-aut-ID8Pt4dI.html
59,27990,170000,122,2019,Diesel,Automática,https://www.standvirtual.com/anuncio/mercedes-benz-c-180-d-amg-line-aut-ID8PoZXN.html
60,36499,26775,160,2020,Diesel,Automática,https://www.standvirtual.com/anuncio/mercedes-benz-c-200-d-avantgarde-aut-ID8Pr9m5.html
61,32799,201383,170,2017,Diesel,Manual,https://www.standvirtual.com/anuncio/mercedes-benz-c-220-d-coupe-amg-line-ID8PsumB.html
62,39950,43562,245,2016,Gasolina,Manual,https://www.standvirtual.com/anuncio/mercedes-benz-c-300-ID8PsumF.html
63,34900,168000,194,2019,Diesel,Automática,https://www.standvirtual.com/anuncio/mercedes-benz-c-220-d-ID8PpHze.html
64,38500,80200,194,2018,Diesel,Automática,https://www.standvirtual.com/anuncio/mercedes-benz-c-220-d-amg-line-ID8Ps2NC.html
65,26490,98000,136,2017,Diesel,Manual,https://www.standvirtual.com/anuncio/mercedes-benz-c-200-d-avantgarde-ID8PnWUB.html
66,39999,90000,204,2017,Diesel,Automática,https://www.standvirtual.com/anuncio/mercedes-benz-c-250-d-aut-ID8PpgWi.html
67,25990,171322,116,2017,Diesel,Automática,https://www.standvirtual.com/anuncio/mercedes-benz-c-180-ID8Po04E.html
